旧值,新值,旧翻译,新翻译
上昇,の<nobr>,上升,
<nobr>,上昇,<nobr>,
20,元気,20,
やる気,20,干劲,
元気,効果を<nobr>1.5倍</nobr>適用）,元气,
上昇,150,上升,
上昇,170,上升,
元気,効果を<nobr>2倍</nobr>適用）,元气,
上昇,190,上升,
好印象,以降、,好印象,
の<nobr>,スキルカード使用時、,的<nobr>,
30,好印象,30,
パラメータ,30,打分,
50,好印象,50,
パラメータ,50,打分,
の<nobr>,以降、,的<nobr>,
50,スキルカード使用時、,50,
が10以上の場合、使用可,が<nobr>10以上</nobr>の場合、使用可,在10以上的时候，可以使用,
400,好印象,400,
400,が<nobr>2枚以上</nobr>の場合、,400,
上昇,400,上升,
500,好印象,500,
パラメータ,500,打分,
500,が<nobr>2枚以上</nobr>の場合、,500,
上昇,500,上升,
540,好印象,540,
パラメータ,540,打分,
540,が<nobr>2枚以上</nobr>の場合、,540,
上昇,540,上升,
600,好印象,600,
パラメータ,600,打分,
600,が<nobr>2枚以上</nobr>の場合、,600,
上昇,600,上升,
3,以降の<nobr>,3,
ターン</nobr>の間、,3,回合</nobr>中，,
ターン開始時、,ターン</nobr>の間、,回合开始时，,
元気,ターン開始時、,元气,
ターン</nobr>後、,4,回合</nobr>后，,
元気,ターン</nobr>後、,元气,
280,の<nobr>,280,
%</nobr>分,280,%</nobr>数值变为,
320,の<nobr>,320,
%</nobr>分,320,%</nobr>数值变为,
200,好印象強化,200,
3,200,3,
以降の<nobr>,ターン</nobr>）,在之后的<nobr>,
直接効果,以降の<nobr>,直接效果,
で,3,使,
好印象,ターン</nobr>の間、,好印象,
が増加後、,直接効果,增加后，,
好印象,で,好印象,
100,が増加後、,100,
上昇,100,上升,
4,200,4,
で,4,使,
270,好印象強化,270,
4,270,4,
5,好印象,5,
6,好印象,6,
元気,やる気,元气,
3,元気,3,
5,元気,5,
1,好印象,1,
50,元気,50,
</nobr>,やる気,</nobr>,
90,元気,90,
</nobr>（,2,</nobr>（,
レッスン,</nobr>（,训练,
中に使用したスキルカード1枚につき、,レッスン,中每使用1张技能卡，,
元気,中に使用したスキルカード1枚につき、,元气,
増加量<nobr>+,元気,增加量<nobr>+,
3,増加量<nobr>+,3,
</nobr>）,3,</nobr>）,
4,増加量<nobr>+,4,
</nobr>）,4,</nobr>）,
5,増加量<nobr>+,5,
</nobr>）,5,</nobr>）,
6,増加量<nobr>+,6,
</nobr>）,6,</nobr>）,
190,の<nobr>,190,
%</nobr>分,190,%</nobr>数值变为,
220,の<nobr>,220,
%</nobr>分,220,%</nobr>数值变为,
80,の<nobr>,80,
%</nobr>分,80,%</nobr>数值变为,
170,の<nobr>,170,
%</nobr>分,170,%</nobr>数值变为,
やる気,</nobr>（,干劲,
効果を<nobr>1.5倍</nobr>適用）,やる気,效果会<nobr>1.5倍</nobr>生效）,
</nobr>,消費体力削減,</nobr>,
5,やる気,5,
2,以降の<nobr>,2,
ターン</nobr>の間、,2,回合</nobr>中，,
ターン終了時、,ターン</nobr>の間、,回合结束时，,
元気,ターン終了時、,元气,
50,の<nobr>,50,
%</nobr>分,50,%</nobr>数值变为,
250,やる気,250,
350,やる気,350,
160,好印象,160,
パラメータ,160,打分,
6,やる気,6,
7,やる気,7,
140,元気,140,
パラメータ,140,打分,
160,元気,160,
180,元気,180,
パラメータ,180,打分,
回まで、,以降,次为限，,
ターン終了時、,4,回合结束时，,
やる気,回まで、,干劲,
が6以上の場合、,ターン終了時、,在6以上的时候，,
好印象,やる気,好印象,
の<nobr>,が<nobr>6以上</nobr>の場合、,的<nobr>,
7,好印象,7,
9,好印象,9,
130,元気,130,
パラメータ,130,打分,
8,増加量<nobr>+,8,
</nobr>）,8,</nobr>）,
9,増加量<nobr>+,9,
</nobr>）,9,</nobr>）,
10,増加量<nobr>+,10,
</nobr>）,10,</nobr>）,
260,の<nobr>,260,
%</nobr>分,260,%</nobr>数值变为,
290,の<nobr>,290,
%</nobr>分,290,%</nobr>数值变为,
1,効果のスキルカード使用後、,1,
</nobr>,好印象,</nobr>,
効果のスキルカード使用後、,以降、,效果的技能卡使用后，,
の<nobr>,効果のスキルカード使用後、,的<nobr>,
1,が<nobr>3以上</nobr>の場合、,1,
が1以上の場合、使用可,が<nobr>1以上</nobr>の場合、使用可,在1以上的时候，可以使用,
%</nobr>分,最大体力の<nobr>,%</nobr>数值变为,
体力回復,10,体力回复,
好印象,体力回復,好印象,
元気,3,元气,
<nobr>+,</nobr>,<nobr>+,
スキルカード使用数追加,<nobr>+,技能卡使用数追加,
<nobr>+,5,<nobr>+,
1,</nobr>,1,
<nobr>,<nobr>+,<nobr>,
重複不可,1,不可重复,
 </nobr>,</nobr>, </nobr>,
元気,5,元气,
<nobr>+,10,<nobr>+,
体力回復,15,体力回复,
<nobr>+,14,<nobr>+,
効果を<nobr>1.8倍</nobr>適用）,やる気,效果会<nobr>1.8倍</nobr>生效）,
効果を<nobr>2倍</nobr>適用）,やる気,效果会<nobr>2倍</nobr>生效）,
400,やる気,400,
効果を<nobr>2.3倍</nobr>適用）,やる気,效果会<nobr>2.3倍</nobr>生效）,
効果を<nobr>2.4倍</nobr>適用）,やる気,效果会<nobr>2.4倍</nobr>生效）,
110,元気,110,
パラメータ,110,打分,
残り3ターン以内のターン終了時、,以降、,剩余3回合内的回合结束时，,
好印象,残り<nobr>3ターン以内</nobr>のターン終了時、,好印象,
210,の<nobr>,210,
%</nobr>分,210,%</nobr>数值变为,
最終ターンのターン終了時、, ,最终回合的回合结束时，,
130,最終ターンのターン終了時、,130,
上昇,130,上升,
170,最終ターンのターン終了時、,170,
180,最終ターンのターン終了時、,180,
上昇,180,上升,
元気,以降、,元气,
の<nobr>,ターン開始時、体力が<nobr>50%以下</nobr>の場合、,的<nobr>,
30,元気,30,
・,上昇,・,
5,・,5,
体力回復,5,体力回复,
10,・,10,
60,の<nobr>,60,
%</nobr>分,60,%</nobr>数值变为,
の<nobr>,ターン終了時、,的<nobr>,
好印象, ,好印象,
140,が<nobr>10以上</nobr>の場合、,140,
220,が<nobr>10以上</nobr>の場合、,220,
上昇,220,上升,
<nobr>+,好印象増加量増加,<nobr>+,
100,<nobr>+,100,
%</nobr>（<nobr>,100,%</nobr>（<nobr>,
3,%</nobr>（<nobr>,3,
ターン</nobr>）,3,回合</nobr>）,
やる気,メンタルスキルカード,干劲,
1,やる気,1,
1.5,やる気,1.5,
倍,1.5,倍,
1,低下状態回復,1,
2,低下状態回復,2,
10,次のターン、,10,
 ,3, ,
が30以上増加後、,直接効果,增加30以上后，,
元気,で,元气,
20,が30以上増加後、,20,
上昇,20,上升,
30,が30以上増加後、,30,
上昇,30,上升,
2,好印象,2,
が9以上の場合、使用可,が<nobr>9以上</nobr>の場合、使用可,在9以上的时候，可以使用,
5,プライド,5,
ターン</nobr>）,（<nobr>,回合</nobr>）,
スキルカード使用数追加,ターン</nobr>）,技能卡使用数追加,
好印象,1,好印象,
スキルカードを引く,<nobr>+,抽取技能卡,
 </nobr>,スキルカードを引く, </nobr>,
やる気,以降、,干劲,
が6以上の場合、,やる気,在6以上的时候，,
アクティブスキルカード,が<nobr>6以上</nobr>の場合、,主动技能卡,
を2回使用するごとに、,アクティブスキルカード,每使用2次，,
元気,を2回使用するごとに、,元气,
が6以上の場合、,以降、,在6以上的时候，,
アクティブスキルカード,やる気,主动技能卡,
を2回使用するごとに、,が<nobr>6以上</nobr>の場合、,每使用2次，,
元気,アクティブスキルカード,元气,
<nobr>+,を2回使用するごとに、,<nobr>+,
やる気,</nobr>,干劲,
8,好印象,8,
2,元気,2,
山札か捨札にあるスキルカード1枚につき、,2,牌堆或弃牌中每有1张技能卡，,
スキルカード使用数追加,山札か捨札にあるスキルカード1枚につき、,技能卡使用数追加,
1,<nobr>+2</nobr>,1,
山札か捨札にあるスキルカード1枚につき、,4,牌堆或弃牌中每有1张技能卡，,
20,好印象強化,20,
消費体力増加,1,消耗体力增加,
25,好印象強化,25,
<nobr>1.1,が<nobr>8以下</nobr>の場合、,<nobr>1.1,
倍,好印象,倍,
</nobr>,<nobr>1.1,</nobr>,
の<nobr>,やる気,的<nobr>,
140,が<nobr>9以上</nobr>の場合、,140,
250,が<nobr>9以上</nobr>の場合、,250,
300,が<nobr>9以上</nobr>の場合、,300,
上昇,300,上升,
350,が<nobr>9以上</nobr>の場合、,350,
体力が50%以上の場合、, ,体力在50%以上的时候，,
1,体力が<nobr>50%以上</nobr>の場合、,1,
体力が80%以上の場合、,1,体力在80%以上的时候，,
</nobr>,体力が<nobr>80%以上</nobr>の場合、,</nobr>,
体力が100%の場合、,<nobr>+,体力为100%的时候，,
好印象,2,好印象,
の<nobr>,</nobr>,的<nobr>,
パラメータ,体力が100%の場合、,打分,
上昇,好印象,上升,
<nobr>,パラメータ,<nobr>,
重複不可,上昇,不可重复,
効果のスキルカードを2回使用するごとに、,以降、,效果的技能卡每使用2次，,
私を超えて（翔）,元気,超越我吧（翔）,
を,効果のスキルカードを2回使用するごとに、,向,
山札の一番上,私を超えて（翔）,牌堆的最顶部,
に,を,中,
生成,山札の一番上,生成,
50,好印象強化,50,
5,50,5,
が6以上の場合、,好印象,在6以上的时候，,
好印象,が<nobr>6以上</nobr>の場合、,好印象,
効果のスキルカードを3回使用するごとに、,好印象,效果的技能卡每使用3次，,
好印象追加発動,効果のスキルカードを3回使用するごとに、,好印象追加发动,
<nobr>+,好印象追加発動,<nobr>+,
</nobr>（<nobr>,1,</nobr>（<nobr>,
3,</nobr>（<nobr>,3,
効果のスキルカードを3回使用するごとに、,が<nobr>6以上</nobr>の場合、,效果的技能卡每使用3次，,
好印象追加発動,好印象,好印象追加发动,
<nobr>+,効果のスキルカードを3回使用するごとに、,<nobr>+,
1,好印象追加発動,1,
</nobr>（<nobr>,<nobr>+,</nobr>（<nobr>,
3,1,3,
ターン</nobr>）,</nobr>（<nobr>,回合</nobr>）,
以降,</nobr>,之后,
ターン開始時、,以降,回合开始时，,
が0の場合、,回まで、,为0的时候，,
レッスン,ターン開始時、,训练,
中に消費した,元気,中消耗过的,
元気,が0の場合、,元气,
の,レッスン,的,
80,中に消費した,80,
元気,の,元气,
上昇,80,上升,
が15以上の場合、使用可,が<nobr>15以上</nobr>の場合、使用可,在15以上的时候，可以使用,
150,元気,150,
レッスン中1回,</nobr>,训练中仅限1次,
やる気,好印象,干劲,
<nobr>+,が<nobr>1以上</nobr>の場合、,<nobr>+,
10,好印象強化,10,
好印象強化,</nobr>,好印象强化,
%</nobr>,好印象強化,%</nobr>,
レッスン中1回,%</nobr>,训练中仅限1次,
ターン開始後、,5,回合开始后，,
スキルカードを引く,ターン</nobr>の間、,抽取技能卡,
ランダムな手札にあるスキルカード（R）2枚をコストを消費せず使用,以降、,随机2张手牌中的技能卡（R）可无需花费值使用,
100,好印象強化,100,
すべてのスキルカードの,%</nobr>,所有的技能卡的,
スキルカード使用数追加,好印象値増加,技能卡使用数追加,
<nobr>+,+6,<nobr>+,
以降、,5,以后，,
スキルカードコストで体力減少時、,</nobr>,技能卡花费值使体力减少时，,
4,以降、,4,
</nobr>（,スキルカードコストで体力減少時、,</nobr>（,
やる気,元気,干劲,
効果を<nobr>2.5倍</nobr>適用）,<nobr>+,效果会<nobr>2.5倍</nobr>生效）,
<nobr>,効果を<nobr>2.5倍</nobr>適用）,<nobr>,
消費体力増加,</nobr>,消耗体力增加,
スキルカード使用数追加,5,技能卡使用数追加,
好印象,メンタルスキルカード,好印象,
山札のランダムな位置,スキルカードを引く,牌堆的随机位置,
<nobr>,山札のランダムな位置,<nobr>,
重複不可,に,不可重复,
 </nobr>,生成, </nobr>,
眠気,<nobr>+,睡意,
を,1,向,
山札のランダムな位置,</nobr>,牌堆的随机位置,
<nobr>+1</nobr>,ターン追加,<nobr>+1</nobr>,
スキルカード使用数追加,<nobr>+1</nobr>,技能卡使用数追加,
50,が<nobr>10以上</nobr>の場合、,50,
%</nobr>（<nobr>,好印象増加量増加,%</nobr>（<nobr>,
ターン</nobr>）,50,回合</nobr>）,
が10以上の場合、,スキルカードを引く,在10以上的时候，,
%</nobr>（<nobr>,が<nobr>10以上</nobr>の場合、,%</nobr>（<nobr>,
5,好印象増加量増加,5,
ターン</nobr>）,<nobr>+,回合</nobr>）,
重複不可,ターン</nobr>）,不可重复,
が10以上の場合、,枚</nobr>引く,在10以上的时候，,
パラメータ上昇量増加,</nobr>,打分上升量增加,
%</nobr>,パラメータ上昇量増加,%</nobr>,
好印象,10,好印象,
が15以上の場合、,%</nobr>,在15以上的时候，,
ターン</nobr>の間、,好印象,回合</nobr>中，,
ターン開始時、,が<nobr>15以上</nobr>の場合、,回合开始时，,
好印象,以降の<nobr>,好印象,
<nobr>1.1,3,<nobr>1.1,
倍,ターン</nobr>の間、,倍,
</nobr>,ターン開始時、,</nobr>,
好印象,20,好印象,
<nobr>1.1,4,<nobr>1.1,
10,元気,10,
11,元気,11,
3,体力回復,3,
270,やる気,270,
パラメータ,270,打分,
340,やる気,340,
パラメータ,340,打分,
1,体力回復,1,
1,が<nobr>10以上</nobr>の場合、,1,
が3以上の場合、,好印象,在3以上的时候，,
好印象,が<nobr>3以上</nobr>の場合、,好印象,
の<nobr>,が<nobr>3以上</nobr>の場合、,的<nobr>,
3,が<nobr>30以上</nobr>の場合、,3,
4,が<nobr>30以上</nobr>の場合、,4,
3,100,3,
好印象,ターン</nobr>）,好印象,
ターン</nobr>の間、,が<nobr>10以上</nobr>の場合、,回合</nobr>中，,
やる気,スキルカードを引く,干劲,
が6以上の場合、, ,在6以上的时候，,
枚</nobr>引く,やる気,张</nobr>,
好印象,ターン</nobr>後、,好印象,
以降の<nobr>,やる気,在之后的<nobr>,
3,が<nobr>3以上</nobr>の場合、,3,
次のターン、,上昇,下个回合，,
やる気増加量増加,</nobr>,干劲增加量增加,
%</nobr>（<nobr>,やる気増加量増加,%</nobr>（<nobr>,
消費体力削減,3,削减消耗体力,
に変更,強気,变更,
25,パラメータ,25,
<nobr>+,全力値,<nobr>+,
自身を,温存,自身向,
保留,の場合、,保留,
に移動,自身を,中移动,
全力,に移動,全力,
<nobr>+,全力,<nobr>+,
25,の場合、,25,
を変更した回数が3回以上の場合、使用可,を変更した回数が<nobr>3回以上</nobr>の場合、使用可,变更次数在3次以上的时候，可以使用,
段階目に変更,強気,阶段变更,
パラメータ,段階目に変更,打分,
3,全力値,3,
ターン開始後、,以降,回合开始后，,
全力,1,全力,
の場合、,回まで、,的时候，,
パラメータ,ターン開始後、,打分,
15,の場合、,15,
4,全力値,4,
20,の場合、,20,
</nobr>,全力値,</nobr>,
2,全力値,2,
全力値,強気,全力值,
<nobr>+,の場合、,<nobr>+,
35,の場合、,35,
アクティブスキルカード,</nobr>,主动技能卡,
+4,アクティブスキルカード,+4,
レッスン中1回,+4,训练中仅限1次,
+6,アクティブスキルカード,+6,
レッスン中1回,+6,训练中仅限1次,
+8,アクティブスキルカード,+8,
レッスン中1回,+8,训练中仅限1次,
+10,アクティブスキルカード,+10,
レッスン中1回,+10,训练中仅限1次,
2,6,2,
回</nobr>）,</nobr>（<nobr>,次</nobr>）,
2,7,2,
23,+,23,
スキルカードを引く,除外以外にある,抽取技能卡,
レッスン中1回,スキルカードを引く,训练中仅限1次,
13,パラメータ,13,
スキルカードを<nobr>,除外以外にある,技能卡抽取<nobr>,
2,トラブルカード,2,
枚</nobr>引く,が<nobr>2枚以上</nobr>の場合、,张</nobr>,
レッスン中1回,枚</nobr>引く,训练中仅限1次,
ターン開始時、,1,回合开始时，,
全力,回まで、,全力,
の場合、,ターン開始時、,的时候，,
パラメータ,全力,打分,
が2枚以上の場合、,除外以外にある,在2张以上的时候，,
手札を選択し、,トラブルカード,选择手牌，,
保留,が<nobr>2枚以上</nobr>の場合、,保留,
に移動,手札を選択し、,中移动,
1,パラメータ,1,
で,成長,使,
指針,：,指针,
を2回変更するたび、,直接効果,2次变更的时候，,
自身の,で,自身的,
パラメータ値増加,指針,打分值增加,
+20・,を2回変更するたび、,+20・,
パラメータ上昇回数増加,自身の,打分上升次数增加,
+1・,パラメータ値増加,+1・,
コスト値増加,+20・,花费值增加,
+1（12回まで）,パラメータ上昇回数増加,+1（12次为限）,
[移動時効果],コスト値増加,[移动时效果],
手札に移動した時、
,+1（12回まで）,移动到手牌时，
,
<nobr>,：手札に移動した時、
,<nobr>,
50,<nobr>+,50,
</nobr>（累積,50,</nobr>（累计,
全力値,</nobr>（累積,全力值,
の,全力値,的,
350,の,350,
%分、,350,%数值，变为,
パラメータ,%分、,打分,
上昇量増加）,パラメータ,上升量增加）,
体力消費,100,体力消耗,
に移動した時、
,移動時効果,中移入本卡时，,
保留,：,保留,
にあるスキルカードの,保留,中的技能卡的,
パラメータ上昇回数増加,に移動した時、
,打分上升次数增加,
<nobr>,にあるスキルカードの,<nobr>,
重複不可,パラメータ上昇回数増加,不可重复,
 </nobr>,+1, </nobr>,
22,パラメータ,22,
状態の場合、,非,状态的时候，,
スキルカード使用数追加,温存,技能卡使用数追加,
を変更するたび、,直接効果,变更的时候，,
+5,を変更するたび、,+5,
レッスン中1回,+5,训练中仅限1次,
+7,を変更するたび、,+7,
レッスン中1回,+7,训练中仅限1次,
+8,を変更するたび、,+8,
47,+,47,
53,+,53,
60,+,60,
次のターン、,2,下个回合，,
スキルカードを引く,ターン</nobr>,抽取技能卡,
28,パラメータ,28,
</nobr>（累積,<nobr>+,</nobr>（累计,
全力値,28,全力值,
の,</nobr>（累積,的,
100,全力値,100,
%分、,の,%数值，变为,
上昇量増加）,%分、,上升量增加）,
全力,以降,全力,
を解除後、非,1,被解除后，非,
状態の場合、,全力,状态的时候，,
温存,を解除後、非,温存,
2,全力,2,
段階目に変更,状態の場合、,阶段变更,
200,全力値,200,
に変更,温存,变更,
効果のスキルカード使用時、,以降、,效果的技能卡使用时，,
すべてのスキルカードの,強気,所有的技能卡的,
パラメータ値増加,効果のスキルカード使用時、,打分值增加,
+2,すべてのスキルカードの,+2,
+3,すべてのスキルカードの,+3,
保留,自身を,保留,
に移動,保留,中移动,
スキルカード使用数追加,全力,技能卡使用数追加,
全力,</nobr>,全力,
3,の場合、,3,
</nobr>（累積,パラメータ,</nobr>（累计,
全力値,<nobr>+,全力值,
の,3,的,
50,</nobr>（累積,50,
%分、,全力値,%数值，变为,
パラメータ,の,打分,
上昇量増加・<nobr>,50,上升量增加・<nobr>,
2,%分、,2,
回</nobr>）,パラメータ,次</nobr>）,
成長,回</nobr>）,成长,
の場合、,成長,的时候，,
自身の,：,自身的,
パラメータ値増加,自身使用後、,打分值增加,
+5・,全力,+5・,
全力値コスト値増加,の場合、,全力值花费值增加,
+1（4回まで）,自身の,+1（4次为限）,
<nobr>,全力値コスト値増加,<nobr>,
重複不可,+1（4回まで）,不可重复,
10,の場合、,10,
の,10,的,
100,</nobr>（累積,100,
上昇量増加・<nobr>,100,上升量增加・<nobr>,
12,の場合、,12,
の,12,的,
120,</nobr>（累積,120,
上昇量増加・<nobr>,120,上升量增加・<nobr>,
14,の場合、,14,
の,14,的,
140,</nobr>（累積,140,
上昇量増加・<nobr>,140,上升量增加・<nobr>,
次のターン、,を,下个回合，,
温存,山札のランダムな位置,温存,
に変更,に,变更,
 ,生成, ,
重複不可,温存,不可重复,
 </nobr>,に変更, </nobr>,
2,4,2,
全力値,回</nobr>）,全力值,
%</nobr>,熱意増加,%</nobr>,
27,パラメータ,27,
に変更,次のターン、,变更,
 ,温存, ,
全力, ,全力,
回</nobr>）,20,次</nobr>）,
<nobr>,回</nobr>）,<nobr>,
段階目に変更,温存,阶段变更,
回</nobr>）,25,次</nobr>）,
パラメータ,に変更,打分,
指針,成長,指针,
を変更するたび、,：,变更的时候，,
自身の,直接効果,自身的,
パラメータ値増加,で,打分值增加,
+15（4回まで）,指針,+15（4次为限）,
<nobr>,パラメータ値増加,<nobr>,
重複不可,+15（4回まで）,不可重复,
+20（4回まで）,指針,+20（4次为限）,
重複不可,+20（4回まで）,不可重复,
2,14,2,
次のターン、,回</nobr>）,下个回合，,
2,強気,2,
段階目に変更,2,阶段变更,
19,パラメータ,19,
2,19,2,
段階目に変更,次のターン、,阶段变更,
消費体力減少,3,消耗体力减少,
16,パラメータ,16,
消費体力減少,4,消耗体力减少,
全力値,10,全力值,
になった時、,成長,存在的时候，,
パラメータ値増加,全力,打分值增加,
+20（1回まで）,になった時、,+20（1次为限）,
<nobr>,+20（1回まで）,<nobr>,
150,全力値,150,
+30（1回まで）,になった時、,+30（1次为限）,
<nobr>,+30（1回まで）,<nobr>,
2,0,2,
3,</nobr>,3,
<nobr>,3,<nobr>,
スキルカードを<nobr>,2,技能卡抽取<nobr>,
を3回変更するたび、,直接効果,3次变更的时候，,
パラメータ上昇回数増加,指針,打分上升次数增加,
+1・,を3回変更するたび、,+1・,
体力消費コスト値減少,自身の,体力消耗花费值减少,
-1（2回まで）,パラメータ上昇回数増加,-1（2次为限）,
<nobr>,-1（2回まで）,<nobr>,
-1（3回まで）,パラメータ上昇回数増加,-1（3次为限）,
<nobr>,-1（3回まで）,<nobr>,
が5以上の場合、使用可,が<nobr>5以上</nobr>の場合、使用可,在5以上的时候，可以使用,
次のターン、,に移動,下个回合，,
の場合、, ,的时候，,
5,全力,5,
</nobr>（<nobr>,の場合、,</nobr>（<nobr>,
回</nobr>）,<nobr>+,次</nobr>）,
成長,4,成长,
：,回</nobr>）,：,
自身の,成長,自身的,
パラメータ値増加,：,打分值增加,
+4,自身使用後、,+4,
<nobr>,自身の,<nobr>,
重複不可,パラメータ値増加,不可重复,
 </nobr>,+4, </nobr>,
成長,5,成长,
+6,自身使用後、,+6,
 </nobr>,+6, </nobr>,
8,全力,8,
12,全力,12,
温存,以降、,温存,
の場合、,ターン開始後、,的时候，,
のんびり,温存,悠闲,
に変更,の場合、,变更,
2,パラメータ,2,
回</nobr>）,5,次</nobr>）,
回</nobr>）,8,次</nobr>）,
回</nobr>）,10,次</nobr>）,
回</nobr>）,13,次</nobr>）,
+4,効果のスキルカードの,+4,
以降、,+4,以后，,
の場合、,以降、,的时候，,
のんびり,ターン開始後、,悠闲,
+9,効果のスキルカードの,+9,
以降、,+9,以后，,
2,3,2,
効果のスキルカード使用後、,成長,效果的技能卡使用后，,
パラメータ値増加,強気,打分值增加,
+10・,効果のスキルカード使用後、,+10・,
コスト値増加,自身の,花费值增加,
+1（2回まで）,パラメータ値増加,+1（2次为限）,
<nobr>,+1（2回まで）,<nobr>,
+15・,効果のスキルカード使用後、,+15・,
3,10,3,
3,16,3,
3,20,3,
3,23,3,
の,スターライト,的,
パラメータ上昇回数増加,の,打分上升次数增加,
+1,パラメータ上昇回数増加,+1,
1枚を,山札か捨札にある,1张向,
手札,スターライト+,手牌,
に移動,1枚を,中移动,
2,温存,2,
パラメータ上昇回数増加,スターライト,打分上升次数增加,
+1,の,+1,
山札か捨札にある,+1,牌堆或弃牌中的,
手札,山札か捨札にある,手牌,
に移動,スターライト+,中移动,
スキルカード使用数追加,手札,技能卡使用数追加,
<nobr>+,に移動,<nobr>+,
になった回数が1回以上の場合、使用可,になった回数が<nobr>1回以上</nobr>の場合、使用可,存在次数在1次以上的时候，可以使用,
パラメータ上昇回数増加,全力,打分上升次数增加,
+1（4回まで）,になった時、,+1（4次为限）,
<nobr>,+1（4回まで）,<nobr>,
保留,山札か捨札にあるスキルカードを選択し、,保留,
1,全力値,1,
保留,1,保留,
にあるスキルカードの,</nobr>,中的技能卡的,
重複不可,+5,不可重复,
重複不可,+8,不可重复,
効果のスキルカードの,効果のスキルカード使用後、,效果的技能卡的,
+2,効果のスキルカードの,+2,
+3,効果のスキルカードの,+3,
に移動,山札か捨札にあるスキルカードを選択し、,中移动,
以降、,に移動,以后，,
すべてのスキルカードの,ターン開始時、,所有的技能卡的,
+2,の場合、,+2,
以降、,段階目に変更,以后，,
強気,以降、,强气,
2段階目の場合、,メンタルスキルカード,2阶段的时候，,
強気,使用時、,强气,
効果のスキルカードの,強気,效果的技能卡的,
パラメータ値増加,2段階目の場合、,打分值增加,
+7,強気,+7,
+8,強気,+8,
+9,強気,+9,
5,全力値,5,
の,全力,的,
パラメータ値増加,効果の,打分值增加,
+2,アクティブスキルカード,+2,
次のターン、,パラメータ値増加,下个回合，,
温存,+2,温存,
<nobr>,に変更,<nobr>,
温存,+4,温存,
+5,アクティブスキルカード,+5,
温存,+5,温存,
温存,+6,温存,
<nobr>,段階目に変更,<nobr>,
強気,：,强气,
になった時、,直接効果,存在的时候，,
+5,になった時、,+5,
<nobr>,+5,<nobr>,
に移動,山札か捨札にあるスキルカードを<nobr>2枚</nobr>選択し、,中移动,
10,全力値,10,
山札か捨札にあるスキルカードを<nobr>2枚</nobr>選択し、,</nobr>,选择牌堆或弃牌中的<nobr>2张</nobr>技能卡，向,
<nobr>,に移動,<nobr>,
5,以降の<nobr>,5,
ターン</nobr>の間、,5,回合</nobr>中，,
ターン開始時、非,ターン</nobr>の間、,回合开始时，不是,
強気,ターン開始時、非,强气,
状態の場合、,強気,状态的时候，,
強気,状態の場合、,强气,
ターン開始時、非,5,回合开始时，不是,
強気,ターン</nobr>の間、,强气,
状態の場合、,ターン開始時、非,状态的时候，,
に変更,状態の場合、,变更,
全力値,8,全力值,
300,全力値,300,
 ,上昇量増加）, ,
5,熱意追加,5,
8,熱意追加,8,
10,熱意追加,10,
元気値増加,メンタルスキルカード,元气值增加,
+8,の,+8,
+11,の,+11,
+13,の,+13,
元気,に変更,元气,
熱意追加,5,热意追加,
メンタルスキルカード,<nobr>+,辅助技能卡,
の,8,的,
コスト値増加,</nobr>,花费值增加,
+1,メンタルスキルカード,+1,
<nobr>,+1・,<nobr>,
重複不可,体力消費コスト値増加,不可重复,
熱意追加,8,热意追加,
熱意追加,10,热意追加,
の,11,的,
熱意追加,11,热意追加,
で,以降、,使,
全力値,直接効果,全力值,
が増加後、,で,增加后，,
温存,全力値,温存,
の場合、,が増加後、,的时候，,
全力値,温存,全力值,
全力値,以降、,全力值,
温存,で,温存,
の場合、,全力値,的时候，,
全力値,が増加後、,全力值,
<nobr>+,温存,<nobr>+,
1,の場合、,1,
累積,</nobr>,累计,
100,累積,100,
%分,全力値,%数值变为,
150,累積,150,
160,累積,160,
上昇,160,上升,
170,累積,170,
次のターン、,5,下个回合，,
温存,</nobr>,温存,
成長,に変更,成长,
：, ,：,
パラメータ値増加,直接効果,打分值增加,
+4（4回まで）,で,+4（4次为限）,
 </nobr>,+4（4回まで）, </nobr>,
次のターン、,10,下个回合，,
以降, ,之后,
ターン終了時、,以降,回合结束时，,
全力値,3,全力值,
が9以下の場合、,回まで、,在9以下的时候，,
パラメータ,ターン終了時、,打分,
2,が<nobr>9以下</nobr>の場合、,2,
の,2,的,
上昇量増加）,100,上升量增加）,
4,が<nobr>9以下</nobr>の場合、,4,
の,4,的,
+40・,アクティブスキルカード,+40・,
コスト値増加,の,花费值增加,
+8,パラメータ値増加,+8,
<nobr>,+8,<nobr>,
+50・,アクティブスキルカード,+50・,
+55・,アクティブスキルカード,+55・,
+60・,アクティブスキルカード,+60・,
全力値,2,全力值,
成長,2,成长,
：,</nobr>,：,
+2・,で,+2・,
元気値増加,強気,元气值增加,
+1,になった時、,+1,
<nobr>,+2・,<nobr>,
重複不可,元気値増加,不可重复,
元気,回</nobr>）,元气,
全力値,5,全力值,
成長,</nobr>,成长,
温存,成長,温存,
になった時、,：,存在的时候，,
+7（2回まで）,温存,+7（2次为限）,
重複不可,+7（2回まで）,不可重复,
</nobr>（<nobr>,熱意追加,</nobr>（<nobr>,
ターン</nobr>）,2,回合</nobr>）,
スキルカードを<nobr>,ターン</nobr>）,技能卡抽取<nobr>,
ターン</nobr>）,5,回合</nobr>）,
ターン</nobr>）,8,回合</nobr>）,
手札を選択し、,</nobr>,选择手牌，,
